COMPANY,MODEL_ID,MODEL_NAME,TARGET_DATABASE,TARGET_SCHEMA,TARGET_TABLE,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_TABLE,SOURCE_JOIN_FILTER_CONDITION,LOAD_RUN_TYPE,LOADER,LOAD_SOURCE_INSERT_COLUMN,SCHEMA_FILTER,IS_COMPLETED,IS_ACTIVE,INSERT_DATE,UPDATE_DATE
PS,SITE_GROUP_PS,SITE_GROUP_PS,DEV_BASE_DB,RV,SAT_SITE_GROUP_PS,DEV_RAW_PS_DB,PS_ALL,SITESGROUP,RECORD_SITE_GROUP_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SITE_LIST_ITEM_PS,SITE_LIST_ITEM_PS,DEV_BASE_DB,RV,LNKSAT_SITE_LIST_ITEM_PS,DEV_RAW_PS_DB,PS_ALL,SITESLISTSITEMS,RECORD_SITE_LIST_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,ITEM_PS,ITEM_PS,DEV_BASE_DB,RV,SAT_ITEM_PS,DEV_RAW_PS_DB,PS_ALL,ITEMS,RECORD_ITEM_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,ITEM_SITE_PS,ITEM_SITE_PS,DEV_BASE_DB,RV,LNKSAT_ITEM_SITE_PS,DEV_RAW_PS_DB,PS_ALL,ITEMSSITE,RECORD_SITE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,MASTER_PS,MASTER_PS,DEV_BASE_DB,RV,SAT_MASTER_PS,DEV_RAW_PS_DB,PS_ALL,MASTER,RECORD_MASTER_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SITE_OPTION_PS,SITE_OPTION_PS,DEV_BASE_DB,RV,SAT_SITE_OPTION_PS,DEV_RAW_PS_DB,PS_ALL,SITEOPTIONS,RECORD_SITE_OPTION_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
AL,SITE_GROUP_AL,SITE_GROUP_AL,DEV_BASE_DB,RV,SAT_SITE_GROUP_AL,STITCH_LANDING_DB,ALICE_ALICE,HOTEL_GROUP,RECORD_SITE_GROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,SITE_SETTING_AL,SITE_SETTING_AL,DEV_BASE_DB,RV,SAT_SITE_SETTING_AL,STITCH_LANDING_DB,ALICE_ALICE,HOTEL_SETTING,RECORD_SITE_SETTING_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,LOCATION_AL,LOCATION_AL,DEV_BASE_DB,RV,SAT_LOCATION_AL,STITCH_LANDING_DB,ALICE_ALICE,LOCATION,RECORD_LOCATION_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,LOCATION_GROUP_AL,LOCATION_GROUP_AL,DEV_BASE_DB,RV,SAT_LOCATION_GROUP_AL,STITCH_LANDING_DB,ALICE_ALICE,LOCATION_GROUP,RECORD_LOCATION_GROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
